internal_id,entity,CID,has_smiles,degree
1913,CID11393719,CID11393719,True,1
1914,CID11398092,CID11398092,True,3
1915,CID11399764,CID11399764,True,1
1925,CID11442891,CID11442891,True,69
1927,CID11452716,CID11452716,True,1
1928,CID11454028,CID11454028,True,4
1929,CID11455910,CID11455910,True,3
1930,CID11462174,CID11462174,True,1
1933,CID11477084,CID11477084,True,1
1934,CID11478363,CID11478363,True,1
1935,CID114811,CID114811,True,1
1936,CID11485656,CID11485656,True,4
1937,CID114869,CID114869,True,3
1938,CID11488110,CID11488110,True,2
1939,CID11488320,CID11488320,True,58
1940,CID11491176,CID11491176,True,1
1942,CID11493841,CID11493841,True,4
1943,CID11494412,CID11494412,True,27
1944,CID11497983,CID11497983,True,3
1946,CID115000,CID115000,True,1
1947,CID11501591,CID11501591,True,2
1948,CID115087,CID115087,True,1
1949,CID1150897,CID1150897,True,1
1950,CID115107,CID115107,True,1
1952,CID11519397,CID11519397,True,1
1953,CID11519741,CID11519741,True,1
1954,CID11520894,CID11520894,True,38
1955,CID11524144,CID11524144,True,42
1956,CID11525740,CID11525740,True,101
1957,CID115269,CID115269,True,1
1958,CID11530459,CID11530459,True,2
1959,CID11533060,CID11533060,True,1
1962,CID11538455,CID11538455,True,40
1963,CID11539025,CID11539025,True,1
1965,CID11548023,CID11548023,True,2
1966,CID11548630,CID11548630,True,1
1968,CID11556427,CID11556427,True,5
1970,CID11561383,CID11561383,True,3
1971,CID11565518,CID11565518,True,1
1972,CID11570805,CID11570805,True,2
1973,CID11577725,CID11577725,True,3
1974,CID11591741,CID11591741,True,1
1975,CID11595431,CID11595431,True,3
1977,CID11607738,CID11607738,True,3
1978,CID11609586,CID11609586,True,2
1979,CID11609955,CID11609955,True,1
1981,CID11617559,CID11617559,True,1
1982,CID11618268,CID11618268,True,1
1983,CID11619093,CID11619093,True,1
1984,CID11620908,CID11620908,True,1
1985,CID11625818,CID11625818,True,6
1987,CID11630874,CID11630874,True,1
1988,CID11634725,CID11634725,True,4
1989,CID11635371,CID11635371,True,1
1990,CID11638255,CID11638255,True,1
1992,CID11646823,CID11646823,True,1
1997,CID11667893,CID11667893,True,3
1998,CID11671467,CID11671467,True,40
1999,CID11673921,CID11673921,True,1
2000,CID11676373,CID11676373,True,1
2001,CID11676786,CID11676786,True,5
2003,CID11685945,CID11685945,True,2
2004,CID11689883,CID11689883,True,2
2006,CID11703255,CID11703255,True,1
2008,CID117072549,CID117072549,True,1
2009,CID117072550,CID117072550,True,1
2010,CID11712649,CID11712649,True,2
2011,CID11713159,CID11713159,True,2
2013,CID11717001,CID11717001,True,6
2015,CID11717641,CID11717641,True,23
2016,CID11719003,CID11719003,True,2
2017,CID11719130,CID11719130,True,1
2018,CID1174,CID1174,True,1
2019,CID11740218,CID11740218,True,15
2020,CID11745519,CID11745519,True,1
2021,CID11749858,CID11749858,True,1
2022,CID11750009,CID11750009,True,1
2023,CID11751549,CID11751549,True,1
2024,CID11754200,CID11754200,True,2
2025,CID11754511,CID11754511,True,1
2026,CID117636625,CID117636625,True,1
2027,CID117817422,CID117817422,True,22
2028,CID11784504,CID11784504,True,2
2030,CID117996749,CID117996749,True,1
2031,CID118025540,CID118025540,True,1
2032,CID118036971,CID118036971,True,1
2034,CID118196485,CID118196485,True,1
2036,CID1183,CID1183,True,1
2037,CID118310260,CID118310260,True,1
2038,CID11844351,CID11844351,True,1
2039,CID11848225,CID11848225,True,1
2041,CID118572017,CID118572017,True,1
2042,CID118572065,CID118572065,True,1
2043,CID11858109,CID11858109,True,2
2044,CID118598754,CID118598754,True,2
2045,CID118693658,CID118693658,True,1
2046,CID11876263,CID11876263,True,226
2047,CID118869362,CID118869362,True,1
2048,CID118946372,CID118946372,True,1
2049,CID118957930,CID118957930,True,2
2051,CID118986645,CID118986645,True,1
2052,CID119031,CID119031,True,1
2054,CID119081,CID119081,True,3
2055,CID119081417,CID119081417,True,1
2057,CID119192,CID119192,True,4
2059,CID119369,CID119369,True,1
2061,CID11950170,CID11950170,True,2
2063,CID11955716,CID11955716,True,3
2064,CID11955855,CID11955855,True,3
