drug1_id,drug2_id,drug1_entity,drug2_entity,label,split
3831,4245,CID5291,CID5991,1,train
3831,4252,CID5291,CID6013,1,train
3831,4259,CID5291,CID6018,1,train
3831,4265,CID5291,CID60198,1,train
3831,4283,CID5291,CID60699,1,train
3831,4290,CID5291,CID60753,1,train
3831,4291,CID5291,CID60795,1,train
3831,4312,CID5291,CID6100,1,train
3831,4353,CID5291,CID6321424,1,train
3831,4358,CID5291,CID6337614,1,train
3831,4359,CID5291,CID636362,1,train
3831,4368,CID5291,CID64139,1,train
3831,4443,CID5291,CID656583,1,train
3831,4535,CID5291,CID68617,1,train
3831,4543,CID5291,CID68740,1,train
3831,4558,CID5291,CID6914273,1,train
3831,4577,CID5291,CID6918296,1,train
3831,4643,CID5291,CID71384,1,train
3831,4837,CID5291,CID7550,1,train
3831,4929,CID5291,CID91649,1,train
3831,4949,CID5291,CID92722,1,train
3831,5000,CID5291,CID9811704,1,train
3831,5034,CID5291,CID9854073,1,train
3831,5089,CID5291,CID9930913,1,train
3839,3844,CID52947716,CID5311,1,train
3839,4005,CID52947716,CID54684141,1,train
3839,4299,CID52947716,CID60838,1,train
3839,4511,CID52947716,CID6758,1,train
3839,4834,CID52947716,CID74990,1,train
3839,5032,CID52947716,CID9852573,1,train
3839,5107,CID52947716,CID9949641,1,train
3842,3844,CID5310966,CID5311,1,train
3842,3872,CID5310966,CID5323714,1,train
3842,3895,CID5310966,CID5329102,1,train
3842,3930,CID5310966,CID5342,1,train
3842,3942,CID5310966,CID5358,1,train
3842,3982,CID5310966,CID5462501,1,train
3842,4003,CID5310966,CID54680692,1,train
3842,4005,CID5310966,CID54684141,1,train
3842,4039,CID5310966,CID5493444,1,train
3842,4051,CID5310966,CID5530,1,train
3842,4054,CID5310966,CID5546,1,train
3842,4207,CID5310966,CID5833,1,train
3842,4252,CID5310966,CID6013,1,train
3842,4259,CID5310966,CID6018,1,train
3842,4279,CID5310966,CID60648,1,train
3842,4290,CID5310966,CID60753,1,train
3842,4291,CID5310966,CID60795,1,train
3842,4299,CID5310966,CID60838,1,train
3842,4312,CID5310966,CID6100,1,train
3842,4353,CID5310966,CID6321424,1,train
3842,4358,CID5310966,CID6337614,1,train
3842,4368,CID5310966,CID64139,1,train
3842,4443,CID5310966,CID656583,1,train
3842,4558,CID5310966,CID6914273,1,train
3842,4577,CID5310966,CID6918296,1,train
3842,4837,CID5310966,CID7550,1,train
3842,4929,CID5310966,CID91649,1,train
3842,4949,CID5310966,CID92722,1,train
3842,5000,CID5310966,CID9811704,1,train
3842,5089,CID5310966,CID9930913,1,train
3844,3849,CID5311,CID5311068,1,train
3844,3860,CID5311,CID5311497,1,train
3844,3872,CID5311,CID5323714,1,train
3844,3877,CID5311,CID53248764,1,train
3844,3895,CID5311,CID5329102,1,train
3844,3899,CID5311,CID5330286,1,train
3844,3930,CID5311,CID5342,1,train
3844,3942,CID5311,CID5358,1,train
3844,3944,CID5311,CID5360373,1,train
3844,3945,CID5311,CID5360515,1,train
3844,3958,CID5311,CID5388983,1,train
3844,3964,CID5311,CID5426,1,train
3844,3967,CID5311,CID5430,1,train
3844,3982,CID5311,CID5462501,1,train
3844,3988,CID5311,CID54675769,1,train
3844,4003,CID5311,CID54680692,1,train
3844,4005,CID5311,CID54684141,1,train
3844,4039,CID5311,CID5493444,1,train
3844,4051,CID5311,CID5530,1,train
3844,4054,CID5311,CID5546,1,train
3844,4084,CID5311,CID56649450,1,train
3844,4122,CID5311,CID572,1,train
3844,4206,CID5311,CID5831,1,train
3844,4207,CID5311,CID5833,1,train
