id,smiles,drug_name
4561,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,ROSIGLITAZONE
3071,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,FENOFIBRATE
2526,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CLOFIBRATE
3200,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,GEMFIBROZIL
4955,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,TROGLITAZONE
4908,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,TELMISARTAN
4144,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,OLMESARTAN
5365,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,clomiphene
5110,CC12CCC3C(C1CCC2O)CCC45C3(CC(=C(C4O5)O)C#N)C,TRILOSTANE
3034,C1CC2C(C1)C3=C(C=CC(=C3)O)OC2C4=CC=C(C=C4)O,Erteberel
5009,CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2,Tesmilifene
5425,CC(C)C1=C(C(=CC=C1)C(C)C)O,propofol
4146,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,OMEPRAZOLE
4331,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,PROBUCOL
5417,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,pantoprazole
2945,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC,ELACRIDAR
5348,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3,anagrelide
2520,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,CILOSTAZOL
3710,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,MILRINONE
4628,COC1=C(OC2CCCC2)C=C(C=C1)C1CNC(=O)C1,ROLIPRAM
2519,COC1=C(C=C(C=C1)C2(CCC(CC2)C(=O)O)C#N)OC3CCCC3,CILOMILAST
14,[H][C@]1(CNC(=O)C1)C1=CC(OC2CCCC2)=C(OC)C=C1,(R)-(-)-Rolipram
4559,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,ROFLUMILAST
5432,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,sildenafil
4964,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,TADALAFIL
2788,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,DIPYRIDAMOLE
5215,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,Vardenafil
5418,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,papaverine
4921,CN1C=NC2=C1C(=O)NC(=O)N2C,THEOBROMINE
4261,CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O,PERINDOPRIL
5351,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,benazepril
5314,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,ZAFIRLUKAST
4328,C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C5=NNN=N5,PRANLUKAST
4163,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,OXCARBAZEPINE
5424,CCCOC1=C(C=C(C=C1)C(=O)OCCN(CC)CC)N,proparacaine
3558,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,LAMOTRIGINE
4949,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,TRIFLUOPERAZINE
5386,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,flecainide
1894,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,AMILORIDE
4330,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,PRIMIDONE
5176,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,VERAPAMIL
