PD-173074,combination,GSK-269962A
MK-2206,combination,GSK-269962A
Pictilisib,combination,Uprosertib
5-Fluorouracil,combination,Uprosertib
AZD-7762,combination,Uprosertib
Sapitinib,combination,Uprosertib
Axitinib,combination,Uprosertib
MK-2206,combination,Uprosertib
PD-173074,combination,Uprosertib
Axitinib,combination,Alpelisib
Sapitinib,combination,Alpelisib
MK-2206,combination,Alpelisib
Pictilisib,combination,Alpelisib
AZD-7762,combination,Alpelisib
5-Fluorouracil,combination,Alpelisib
PD-173074,combination,Alpelisib
Taselisib,combination,AZD-6482
Trametinib,combination,AZD-6482
Docetaxel,combination,AZD-6482
Palbociclib,combination,AZD-6482
Linsitinib,combination,AZD-6482
Crizotinib,combination,AZD-6482
MK-1775,combination,AZD-6482
Temozolomide,combination,AZD-6482
Cisplatin,combination,AZD-6482
Vorinostat,combination,AZD-6482
Olaparib,combination,AZD-6482
Bortezomib,combination,AZD-6482
Lapatinib,combination,AZD-6482
Nutlin-3a (-),combination,AZD-6482
Gemcitabine,combination,AZD-6482
Navitoclax,combination,AZD-6482
Luminespib,combination,AZD-6482
Olaparib,combination,Afatinib
Bortezomib,combination,Afatinib
Palbociclib,combination,Afatinib
Lapatinib,combination,Afatinib
Nutlin-3a (-),combination,Afatinib
Taselisib,combination,Afatinib
Temozolomide,combination,Afatinib
Gemcitabine,combination,Afatinib
Trametinib,combination,Afatinib
Docetaxel,combination,Afatinib
Linsitinib,combination,Afatinib
Crizotinib,combination,Afatinib
MK-1775,combination,Afatinib
Cisplatin,combination,Afatinib
Vorinostat,combination,Afatinib
Navitoclax,combination,Afatinib
Luminespib,combination,Afatinib
5-Fluorouracil,combination,NU-7441
PD-173074,combination,NU-7441
Pictilisib,combination,NU-7441
Axitinib,combination,NU-7441
Sapitinib,combination,NU-7441
MK-2206,combination,NU-7441
Vorinostat,combination,Doramapimod
MK-1775,combination,Doramapimod
Crizotinib,combination,Doramapimod
5-Fluorouracil,combination,Wee1 Inhibitor
AZD-7762,combination,NU-7441
Olaparib,combination,Doramapimod
PD-173074,combination,Wee1 Inhibitor
Pictilisib,combination,Wee1 Inhibitor
Axitinib,combination,Wee1 Inhibitor
Sapitinib,combination,Wee1 Inhibitor
Bortezomib,combination,Doramapimod
Palbociclib,combination,Doramapimod
Lapatinib,combination,Doramapimod
Nutlin-3a (-),combination,Doramapimod
Taselisib,combination,Doramapimod
MK-2206,combination,Wee1 Inhibitor
Temozolomide,combination,Doramapimod
Gemcitabine,combination,Doramapimod
Trametinib,combination,Doramapimod
Docetaxel,combination,Doramapimod
Linsitinib,combination,Doramapimod
AZD-7762,combination,Wee1 Inhibitor
Cisplatin,combination,Doramapimod
Navitoclax,combination,Doramapimod
Luminespib,combination,Doramapimod
Axitinib,combination,ZM-447439
Pictilisib,combination,ZM-447439
Sapitinib,combination,ZM-447439
5-Fluorouracil,combination,ZM-447439
PD-173074,combination,ZM-447439
AZD-7762,combination,ZM-447439
MK-2206,combination,ZM-447439
5-Fluorouracil,combination,Alisertib
PD-173074,combination,Alisertib
Pictilisib,combination,Alisertib
Axitinib,combination,Alisertib
Sapitinib,combination,Alisertib
MK-2206,combination,Alisertib
AZD-7762,combination,Alisertib
Palbociclib,combination,Dabrafenib
Crizotinib,combination,Dabrafenib
Vorinostat,combination,Dabrafenib
Trametinib,combination,Dabrafenib
Docetaxel,combination,Dabrafenib
Cisplatin,combination,Dabrafenib
Gemcitabine,combination,Dabrafenib
Nutlin-3a (-),combination,Dabrafenib
Temozolomide,combination,Dabrafenib
Luminespib,combination,Dabrafenib
Bortezomib,combination,Dabrafenib
Navitoclax,combination,Dabrafenib
Lapatinib,combination,Dabrafenib
