id,smiles,drug_CID
4345,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl,CID62920
1718,CC1=CSC(=N1)NC(=O)C2=C(C3=C(C4=C(CCC4)N=C3S2)C(F)(F)F)N,CID1005654
4347,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl,CID62935
3444,C1=CC=C2C(=C1)C(=C(N2)C3=C(NC4=C3C=CC(=C4)Br)O)N=O,CID448949
1809,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,CID104920
5089,C1CCC2(C1)CC(=O)N(C(=O)C2O)CCCCN3CCN(CC3)C4=NC=CC=N4,CID9930913
4351,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl.Cl,CID63009
3936,C/C(=N\NC(=S)N1CCC1)/C2=CC=CC=N2,CID5351307
4420,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3,CID65015
4692,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@H](NC6=O)O)NC)OC,CID72271
4136,CC1=CC(=C(N1)C=C2C(=CC(=C3C=C4C=CC=CC4=N3)N2)OC)C,CID57353643
1918,CC1=NC2=CC=CC=C2C(=N1)N(C)C3=CC=C(C=C3)OC,CID11414799
4431,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl.Cl,CID65335
4433,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,CID65348
4472,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl,CID66064
4478,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl,CID66259
3215,CCOC(=O)C(C)OC1=CC=CC2=C1C=CN(C2=O)CC(=O)NC3=CC4=C(C=C3)OCCO4,CID4076092
3928,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C,CID53398697
3498,CN(C(=O)N1[C@@](SC(=N1)C2=C(C=CC(=C2)F)F)(CCCN)C3=CC=CC=C3)OC,CID46189838
4479,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,CID66414
3518,CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)[C@H]4CCCNC4,CID46239014
2206,C12=NNN=C1N=C(NC2=O)N,CID135403646
2297,C1=NC(=C2C(=N1)N(C(=N2)Cl)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,CID147569
4503,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl,CID67356
4528,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl,CID68540
4536,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O.Cl,CID68624
2270,CC1=CC=CC=C1N2C(=O)C=CC(=N2)C3=C4NC[C@H](CN4N=C3C5=CC=C(C=C5)F)CO,CID136173253
4647,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,CID71420
4648,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.Cl,CID71478
2496,CCOC1=C(C=CC(=C1)C(C)(C)C)C2=N[C@@]([C@@](N2C(=O)N3CCN(CC3)CC(=O)N4CCOCC4)(C)C5=CC=C(C=C5)Cl)(C)C6=CC=C(C=C6)Cl,CID17754765
4679,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl,CID71764
4688,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](CC1=CC=CC=C1)N)O,CID72172
4875,C1=CC=C2C(=C1)C(=NC=N2)N,CID84759
2953,CC1=CC(=C(C(=C1/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C)C)C)OC,CID29971118
3449,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,CID449171
4436,CN1CCN(CC1)C2CCC(CC2)N3C=C(C4=C(N=CN=C43)N)C5=CC=C(C=C5)OC6=CC=CC=C6,CID6539952
1999,C1=CC(=C(C(=C1)Cl)Cl)C2=NN=NN2CC3=CN=CC=C3,CID11673921
